bl_bi24latitude,bl_bi24longitude,bl_dw15,bl_dw16,bl_dw19,bl_dw20,bl_dw21,bl_dw23,bl_dw25,bl_dw31,bl_dw32,bl_dw33,bl_dw34,bl_dw36,bl_dw39,bl_dw40,bl_dw41,bl_dw42,bl_dw44,bl_dw45,bl_dw46,bl_dw47,bl_dw52,bl_dw53,bl_dw54,bl_dw56,bl_dw57,bl_dw59,bl_dw61,bl_dw63,bl_dw64,bl_dw72,bl_dw73,bl_sd13,bl_sd14,bl_sd15,bl_sd24_piazza,bl_sd24_leghar,bl_sd26,bl_sd27,bl_sd28,bl_sd33,bl_sd35,bl_sd36,bl_sd43,bl_sd45,bl_sd46,bl_sd48,bl_sd49,bl_sd50,bl_sd51,a01
9.2940073,38.561111,2,3,2,,2,2,2,1,,,,,5,,2,,3,5,2,,1,2,2,1,1,-999,1,20,6,1,7,5,4,4,-888,-888,10,10,-888,1,1,2,1,.12,5,2,2,2,2,83
9.2952566,38.563194,2,3,1,20,2,2,2,1,,,,,1,2,1,2,5,2,2,,1,2,2,1,1,-999,1,15,3,1,5,5,2,4,-888,-888,10,10,-888,2,.5,4,2,.5,15,-888,-888,-888,-888,84
9.2952948,38.567886,8,3,2,,2,2,2,1,,,,,1,2,2,,5,2,2,,2,2,2,1,1,5,1,10,6,1,7,4,2,1,-888,-888,5,5,-888,1,.12,4,2,.12,15,-888,-888,-888,-888,85
9.2954531,38.565006,1,2,1,7,2,2,2,1,,,,,1,2,2,,5,1,2,,1,2,2,1,1,5,1,4,5,1,5,5,2,4,80,-888,5,5,80,1,.5,2,1,.12,10,2,2,2,2,86
9.2940807,38.567692,8,3,2,,2,1,4,1,,,,,1,1,2,,5,2,2,,4,2,2,1,1,5,1,10,6,1,7,5,2,3,120,120,10,10,120,1,.12,2,1,.5,15,2,2,2,2,87
9.2948437,38.56868,2,3,1,10,2,2,4,1,,,,,1,2,1,6,5,1,2,,4,2,2,1,1,1,1,5,6,1,7,4,2,1,-888,-888,5,5,-888,1,.1,2,1,.5,30,2,2,2,2,88
9.2957973,38.565269,1,2,1,14,2,2,2,1,,,,,1,2,2,,5,2,2,,1,2,2,1,1,5,1,4,3,1,7,4,2,2,120,120,3,3,120,2,.25,4,1,.25,10,2,2,2,2,89
9.2948074,38.568859,1,2,1,14,2,2,2,1,,,,,1,3,1,5,3,5,2,,4,2,2,1,1,-999,1,10,5,1,7,5,2,3,-888,-888,5,5,-888,1,.050000001,4,2,.25,5,-888,-888,-888,-888,90
9.29566,38.567341,2,3,1,10,2,2,2,1,,,,,1,2,2,,5,5,2,,4,1,,1,1,1,1,5,2,1,7,4,2,1,-888,-888,5,5,-888,1,.1,2,1,.25,25,-888,-888,-888,-888,91
9.292779,38.563641,2,3,1,14,2,2,2,1,,,,,1,2,2,,5,5,2,,4,2,2,1,1,5,1,4,5,1,7,5,2,4,-888,-888,10,10,-888,2,.5,5,1,.12,10,2,2,2,2,92
9.2926912,38.567047,2,3,1,15,2,2,2,1,,,,,1,2,1,1,4,2,2,,-999,2,1,1,1,-999,1,4,3,1,7,5,2,3,-888,-888,15,15,-888,1,.050000001,2,2,.25,15,2,2,2,2,93
9.2952051,38.567993,2,3,1,14,2,2,2,1,,,,,1,3,1,2,4,1,2,,4,2,2,1,1,5,1,10,12,1,5,5,2,3,110,120,10,10,110,2,.1,4,2,.12,15,2,2,2,2,94
9.2935276,38.567219,1,2,1,15,2,2,2,1,,,,,1,3,1,4,5,1,2,,4,2,1,1,1,-999,1,6,2,1,5,5,2,3,90,-888,10,10,90,1,.050000001,2,2,.25,15,-888,-888,-888,-888,95
9.2951593,38.567936,1,3,1,10,2,2,2,1,,,,,5,,2,,5,1,2,,1,2,2,1,1,5,1,4,12,1,5,5,2,3,-888,-888,15,15,-888,2,.1,4,2,.12,8,2,-888,2,2,96
9.4001303,38.497852,2,3,2,,2,2,2,1,,,,,1,2,1,1,5,5,2,,4,2,2,2,,,,,,3,7,4,2,2,-888,-888,5,-888,-888,1,.12,2,2,1,25,-888,-888,-888,-888,97
9.3989105,38.497818,2,3,2,,2,2,2,1,,,,,1,2,2,,5,1,2,,4,2,2,2,,,,,,4,5,4,2,1,120,220,5,-888,180,1,.1,2,2,.15000001,15,-888,2,2,2,98
9.3975668,38.497925,2,3,2,,2,2,2,1,,,,,5,,2,,5,1,2,,4,1,,2,,,,,,4,7,4,2,1,-888,-888,10,-888,-888,2,.25,2,1,1,25,2,2,2,2,99
9.4010811,38.497581,2,3,2,,2,2,2,1,,,,,1,1,1,1,5,1,2,,4,2,2,2,,,,,,1,7,5,2,4,-888,-888,5,-888,-888,1,.1,2,2,.12,10,4,-888,-888,-888,100
9.4405737,38.340763,1,2,1,18,2,2,4,1,,,,,1,2,1,3,5,5,2,,4,2,2,1,1,-999,1,3,6,1,1,4,2,3,180,-888,10,10,120,2,.050000001,4,2,.1,10,-888,-888,-888,-888,101
9.4372883,38.343281,8,3,2,,2,2,2,1,,,,,1,2,2,,5,1,2,,1,2,2,1,1,5,1,3,8,1,7,5,1,3,-888,-888,10,10,-888,1,.1,2,2,.2,25,-888,-888,-888,-888,102
9.4426908,38.341995,2,3,1,15,2,2,2,1,,,,,1,2,1,3,4,1,2,,1,2,2,1,1,-999,1,5,6,1,5,4,2,2,-888,-888,15,15,-888,2,.1,2,2,.25,30,2,2,2,2,103
9.0345831,38.648926,1,2,1,3,2,2,2,1,,,,,1,1,1,4,5,1,2,,4,2,2,1,1,5,1,10,12,1,7,5,2,2,30,40,7,7,25,2,2,4,2,1.5,15,4,2,2,2,104
9.0662584,38.496613,2,3,2,,2,2,4,1,,,,,1,2,2,,5,1,2,,1,2,2,1,1,5,1,5,12,1,7,5,2,4,-888,-888,30,30,-888,2,3,2,1,1.5,15,2,2,2,2,105
9.0530262,38.664028,8,3,2,,2,2,2,1,,,,,1,2,2,,4,1,2,,4,2,2,1,1,-999,1,2,6,1,7,4,1,3,90,-888,45,45,90,1,5,2,2,8,80,2,2,2,2,106
9.0275011,38.651745,2,3,1,7,2,2,2,1,,,,,1,2,2,,4,1,2,,1,2,2,2,,,,,,4,7,5,2,3,40,60,10,10,40,1,2,2,2,1.5,15,2,2,2,2,107
9.0472641,38.648937,8,3,2,,2,2,4,1,,,,,1,2,2,,5,1,2,,1,2,2,2,,,,,,3,5,5,2,4,-888,-888,20,20,-888,2,3,2,2,1,10,2,2,2,2,108
9.047945,38.654591,8,3,2,,1,1,4,1,,,,,1,2,2,,3,5,2,,4,2,2,1,1,5,1,7,12,1,7,5,4,4,-888,-888,30,30,-888,2,4,2,1,1,5,2,2,2,2,109
9.0480785,38.672863,1,2,1,14,1,2,2,1,,,,,1,1,2,,4,1,2,,4,2,2,1,1,2,1,3,2,1,1,5,1,3,120,150,20,5,120,1,4,2,1,2,30,2,2,2,2,110
9.0304461,38.664658,1,3,1,15,2,2,1,1,,,,,1,2,2,,5,1,2,,1,2,2,1,1,5,1,5,2,1,7,5,2,4,60,60,5,5,60,2,3,-888,2,1,15,-888,-888,-888,-888,111
9.0253439,38.653584,8,3,2,,2,2,2,1,,,,,1,2,1,1,5,1,2,,1,2,2,2,,,,,,5,5,5,2,3,-888,-888,25,25,-888,1,4,2,2,-888,,-888,-888,-888,-888,112
9.0459471,38.664471,8,3,2,,1,2,1,1,,,,,1,1,2,,5,1,2,,1,2,2,1,1,1,1,3,1,1,5,5,2,3,60,70,20,20,60,1,2.5,2,2,2,25,2,-888,-888,-888,113
9.0543604,38.664581,8,3,2,,2,2,2,1,,,,,1,2,2,,3,5,2,,1,2,2,1,1,5,1,2,1,1,7,5,2,4,60,-888,30,30,60,2,4,-888,1,5,45,2,2,2,2,114
9.0406885,38.654438,1,3,1,10,1,2,1,2,8,3,.050000001,2,5,,2,,5,1,2,,4,2,2,1,1,5,1,3,2,1,7,5,2,4,-888,-888,30,30,-888,2,3,4,2,2,30,2,4,2,2,115
9.0308752,38.6647,1,3,1,5,1,2,1,1,,,,,1,1,2,,3,5,2,,4,2,1,1,1,2,1,7,2,1,5,4,2,2,30,40,3,3,40,2,3,4,1,1.5,15,2,4,2,2,116
